WS10M_lag1,PREC,RH,MIN_TEMP,MAX_TEMP,WD_sin,SURF_PRESSSURE,WD_cos,AVG_TEMP,WS10M_lag2,PREC_lag1,SL_PRESSURE,YEAR,MO,DY,WS10M
4.25,13.42,86.26,23.42,28.38,0.4399391699,99.68,0.8980275758,26.4,3.99,1.09,1011.0,2013,1,3,4.75
4.75,8.79,86.31,22.93,27.58,0.4241994227,99.65,0.905568799,25.1,4.25,13.42,1010.1,2013,1,4,5.74
5.74,2.6,86.88,22.17,26.16,0.5635260489,99.5,0.8260982945,26.9,4.75,8.79,1007.5,2013,1,5,5.79
5.79,1.65,88.09,23.47,27.75,0.4601997848,99.47,0.8878153851,27.3,5.74,2.6,1008.2,2013,1,6,4.52
4.52,27.41,93.04,24.04,26.7,0.3681245527,99.46,0.9297764859,25.9,5.79,1.65,1009.2,2013,1,7,4.66
4.66,20.52,87.72,23.37,28.42,0.3485720473,99.58,0.9372819895,26.4,4.52,27.41,1010.4,2013,1,8,3.61
3.61,13.66,91.02,24.16,27.87,0.008726535498,99.59,0.9999619231,27.4,4.66,20.52,1010.0,2013,1,9,4.19
4.19,21.99,91.35,24.48,27.13,0.3173046564,99.55,0.9483236552,27.1,3.61,13.66,1009.6,2013,1,10,5.41
5.41,4.66,86.93,23.62,29.12,0.4984877398,99.63,0.8668967489,26.1,4.19,21.99,1010.5,2013,1,11,5.95
5.95,0.12,84.92,22.74,28.37,0.4939418666,99.78,0.8694949295,27.2,5.41,4.66,1011.4,2013,1,12,5.8
5.8,0.01,82.59,21.67,27.12,0.5591929035,99.76,0.8290375726,26.2,5.95,0.12,1010.3,2013,1,13,5.64
5.64,0.0,80.37,20.57,27.71,0.6586894601,99.7,0.7524149089,25.9,5.8,0.01,1010.5,2013,1,14,4.46
4.46,0.01,81.07,21.08,27.99,0.7107994739,99.77,0.7033947028,27.1,5.64,0.0,1011.1,2013,1,15,4.71
4.71,0.0,80.95,20.55,27.87,0.680720869,99.81,0.7325428988,27.4,4.46,0.01,1011.4,2013,1,16,5.33
5.33,0.0,77.69,20.31,28.6,0.6387678175,99.82,0.769399555,26.9,4.71,0.0,1011.8,2013,1,17,4.02
4.02,0.0,78.74,20.1,27.86,0.575005252,99.85,0.8181497174,26.8,5.33,0.0,1012.2,2013,1,18,3.94
