WS10M_lag1,RH,MIN_TEMP,PREC,WD_sin,WD_cos,AVG_TEMP,WS10M_lag2,SURF_PRESSSURE,MAX_TEMP,RH_lag1,WD_sin_lag1,WD_sin_lag2,SL_PRESSURE,PREC_lag1,YEAR,MO,DY,WS10M
4.25,86.26,23.42,13.42,0.4399391699,0.8980275758,26.4,3.99,99.68,28.38,86.19,0.5,0.6004202253,1011.0,1.09,2013,1,3,4.75
4.75,86.31,22.93,8.79,0.4241994227,0.905568799,25.1,4.25,99.65,27.58,86.26,0.4399391699,0.5,1010.1,13.42,2013,1,4,5.74
5.74,86.88,22.17,2.6,0.5635260489,0.8260982945,26.9,4.75,99.5,26.16,86.31,0.4241994227,0.4399391699,1007.5,8.79,2013,1,5,5.79
5.79,88.09,23.47,1.65,0.4601997848,0.8878153851,27.3,5.74,99.47,27.75,86.88,0.5635260489,0.4241994227,1008.2,2.6,2013,1,6,4.52
4.52,93.04,24.04,27.41,0.3681245527,0.9297764859,25.9,5.79,99.46,26.7,88.09,0.4601997848,0.5635260489,1009.2,1.65,2013,1,7,4.66
4.66,87.72,23.37,20.52,0.3485720473,0.9372819895,26.4,4.52,99.58,28.42,93.04,0.3681245527,0.4601997848,1010.4,27.41,2013,1,8,3.61
3.61,91.02,24.16,13.66,0.008726535498,0.9999619231,27.4,4.66,99.59,27.87,87.72,0.3485720473,0.3681245527,1010.0,20.52,2013,1,9,4.19
4.19,91.35,24.48,21.99,0.3173046564,0.9483236552,27.1,3.61,99.55,27.13,91.02,0.008726535498,0.3485720473,1009.6,13.66,2013,1,10,5.41
5.41,86.93,23.62,4.66,0.4984877398,0.8668967489,26.1,4.19,99.63,29.12,91.35,0.3173046564,0.008726535498,1010.5,21.99,2013,1,11,5.95
5.95,84.92,22.74,0.12,0.4939418666,0.8694949295,27.2,5.41,99.78,28.37,86.93,0.4984877398,0.3173046564,1011.4,4.66,2013,1,12,5.8
5.8,82.59,21.67,0.01,0.5591929035,0.8290375726,26.2,5.95,99.76,27.12,84.92,0.4939418666,0.4984877398,1010.3,0.12,2013,1,13,5.64
5.64,80.37,20.57,0.0,0.6586894601,0.7524149089,25.9,5.8,99.7,27.71,82.59,0.5591929035,0.4939418666,1010.5,0.01,2013,1,14,4.46
4.46,81.07,21.08,0.01,0.7107994739,0.7033947028,27.1,5.64,99.77,27.99,80.37,0.6586894601,0.5591929035,1011.1,0.0,2013,1,15,4.71
4.71,80.95,20.55,0.0,0.680720869,0.7325428988,27.4,4.46,99.81,27.87,81.07,0.7107994739,0.6586894601,1011.4,0.01,2013,1,16,5.33
5.33,77.69,20.31,0.0,0.6387678175,0.769399555,26.9,4.71,99.82,28.6,80.95,0.680720869,0.7107994739,1011.8,0.0,2013,1,17,4.02
4.02,78.74,20.1,0.0,0.575005252,0.8181497174,26.8,5.33,99.85,27.86,77.69,0.6387678175,0.680720869,1012.2,0.0,2013,1,18,3.94
3.94,79.09,20.72,0.0,0.557745109,0.8300122851,27.0,4.02,99.8,28.62,78.74,0.575005252,0.6387678175,1011.9,0.0,2013,1,19,4.21
4.21,84.25,21.56,1.35,0.4939418666,0.8694949295,26.9,3.94,99.78,28.49,79.09,0.557745109,0.575005252,1011.7,0.0,2013,1,20,3.83
3.83,84.0,23.16,0.14,0.557745109,0.8300122851,28.9,4.21,99.82,29.13,84.25,0.4939418666,0.557745109,1011.8,1.35,2013,1,21,5.17
5.17,84.67,22.29,0.27,0.4771587603,0.8788171127,27.9,3.83,99.83,29.14,84.0,0.557745109,0.4939418666,1011.7,0.14,2013,1,22,5.61
5.61,88.24,22.79,6.4,0.3420201433,0.9396926208,27.5,5.17,99.8,28.87,84.67,0.4771587603,0.557745109,1012.1,0.27,2013,1,23,6.1
6.1,90.01,23.67,9.41,0.4241994227,0.905568799,27.6,5.61,99.77,26.99,88.24,0.3420201433,0.4771587603,1011.6,6.4,2013,1,24,5.14
5.14,86.13,23.46,3.82,0.496973961,0.8677654534,28.5,6.1,99.81,28.04,90.01,0.4241994227,0.3420201433,1011.5,9.41,2013,1,25,5.24
5.24,82.85,22.69,0.31,0.575005252,0.8181497174,27.9,5.14,99.82,29.15,86.13,0.496973961,0.4241994227,1011.7,3.82,2013,1,26,5.37
5.37,80.67,22.49,0.04,0.7107994739,0.7033947028,28.6,5.24,99.87,29.23,82.85,0.575005252,0.496973961,1011.8,0.31,2013,1,27,4.86
4.86,80.5,22.24,0.0,0.725374371,0.6883545757,29.3,5.37,99.83,28.42,80.67,0.7107994739,0.575005252,1011.5,0.04,2013,1,28,4.88
4.88,78.91,21.3,0.0,0.7156927337,0.6984152854,28.9,4.86,99.79,28.96,80.5,0.725374371,0.7107994739,1011.1,0.0,2013,1,29,4.96
4.96,78.65,20.85,0.0,0.8191520443,0.5735764364,28.4,4.88,99.8,29.07,78.91,0.7156927337,0.725374371,1011.5,0.0,2013,1,30,4.97
4.97,80.06,20.8,0.0,0.7181262978,0.6959127966,28.0,4.96,99.8,28.89,78.65,0.8191520443,0.7156927337,1011.3,0.0,2013,1,31,5.06
5.06,83.42,21.45,0.0,0.5313985795,0.8471219214,28.4,4.97,99.76,29.32,80.06,0.7181262978,0.8191520443,1011.1,0.0,2013,2,1,5.39
5.39,83.48,22.45,0.02,0.4909037536,0.8712138111,29.0,5.06,99.72,29.31,83.42,0.5313985795,0.7181262978,1010.6,0.0,2013,2,2,5.67
5.67,81.8,22.75,0.02,0.5284383347,0.8489716876,28.8,5.39,99.72,29.25,83.48,0.4909037536,0.5313985795,1010.8,0.02,2013,2,3,4.85
